Titulo,Autor,Genero,Descripcion
Le dedico mi silencio,['Mario Vargas Llosa'],"['Drama', 'Novela']","La historia de un hombre que soñó un país unido por la música y enloqueció queriendo escribir un libro perfecto que lo contara.Toño Azpilcueta pasa sus días entre su trabajo en un colegio, su familia y su gran pasión, la música criolla, sobre la que lleva investigando desde su juventud. Un día, una llamada le cambia la vida. Una invitación para ir a escuchar a un guitarrista desconocido, Lalo Molfino, personaje del que nadie sabe demasiado pero de gran talento, parece confirmar todas sus intuiciones: el amor profundo que siente por los valses, marineras, polkas y huainos peruanos tiene una razón más allá del placer de escucharlos (o bailarlos).Tal vez lo que ocurra es que la música criolla sea, en realidad, no solo una seña de identidad de todo un país y expresión de esa actitud tan peruana de la huachafería («la mayor contribución de Perú a la cultural universal», según Toño Azpilcueta), sino algo mucho más importante: un elemento capaz de provocar una revolución social, de derribar prejuicios y barreras raciales para unir al país entero en un abrazo fraterno y mestizo. En un país fracturado y asolado por la violencia de Sendero Luminoso, la música podría ser aquello que recuerde a todos los que conforman la sociedad que, por encima de cualquier otra cosa, son hermanos y compatriotas. Y en esto, es posible que el virtuosismo de la guitarra de Lalo Molfino tenga mucho que ver.Toño Azpilcueta decide investigar más sobre Molfino, viajar a su lugar de origen, conocer a este personaje esquivo, saber de su historia, de su familia y amores, de cómo llegó a convertirse en un guitarrista tan excelso. Y se propone también escribir un libro donde contar la historia de la música criolla y desarrollar esa idea que ha inoculado en su mente el descubrimiento de este músico extraordinario.La ficción y el ensayo se entremezclan así, de forma magistral, en esta novela en la que el premio nobel peruano vuelve sobre un tema que le obsesiona desde hace años: las utopías. Eso es lo que persigue Toño Azpilcueta en última instancia: la utopía de generar, a través del arte, una idea de país."
Mentideros de la memoria,['Gonzalo Celorio'],"['Histórico', 'Novela']","Entre la ficción y el testimonio, el ensayo y la memoria, este libro da cuenta de algunas facetas de la vida de varios escritores a quienes Gonzalo Celorio tuvo la oportunidad de conocer y de tratar: Arreola, Cortázar, Rulfo, Fuentes, Monterroso, García Márquez, Loynaz, Eco. Por encima de las indiscreciones, prevalece la admiración crítica que Celorio les profesa; por encima del yo del autor, el protagonismo de los escritores; por encima de la anécdota dolorosa, patética o irrisoria, la valoración de sus obras, las literarias y las de la vida misma, que se funden en este libro cargado de pasión literaria y también de humor y de ironía. Páginas deliciosas que invitan a la relectura."
¡A mí me lo vas a contar!,['Daniel de la Peña'],"['Erótico', 'Humor', 'Novela', 'Romántico']","Cuando el destino se empeña en poner en tu camino a la misma persona una y otra vez, ¿es una señal de amor? Y si no lo soportas, ¿es una tortura o simplemente no sabes entender los mensajes de la vida?Te han puesto los cuernos. Eres la nueva unicornuda. Te han contratado para que presentes tu propio consultorio amoroso en un programa de televisión. Odias a tu nuevo compañero de trabajo. Te resulta irresistible el cretino de Mike.Piques, situaciones disparatadas, tensión sexual y amor a raudales inundan esta divertida comedia romántica, que hace una perfecta radiografía al mundo de las redes sociales y de la televisión.¿Serán capaces Noe y Mike de superar sus miedos para entregarse al amor?"
Identidad oculta,['Eugeni Verdú'],"['Intriga', 'Novela']","UN THRILLER POLICIACO QUE NOS SUMERGE EN EL LADO MÁS OSCURO DEL MUNDO DEL ARTE.Por el autor de La abadía de los herejes.Udrev, un reconocido pintor y escultor, es salvajemente asesinado; su cadáver aparece pintado y cubierto de extraños dibujos y grabados. El recién ascendido inspector Jan Balasch se hará cargo de la investigación ayudado por la agente Carla Janerich, adscrita a la Brigada de Patrimonio, experta en arte y dotada de una especial intuición.Pese a la incansable labor de los policías, y de las diferentes líneas de investigación abiertas, los resultados son desalentadores. Parece que un denso manto de niebla se hubiera apoderado de la escena del crimen y velado el rostro de sus autores; como si ese asesinato ritual nunca hubiera existido. Ya resignados a archivar el caso, el azar les lleva a descubrir un pendrive en el interior de una de las esculturas del artista. Inicialmente parece tratarse de una broma póstuma de Udrev, pero la inesperada filtración de su contenido a la prensa desencadena una serie de robos, asesinatos y suicidios en diferentes ciudades de Europa y Estados Unidos que pondrán a Balasch y Janerich, en coordinación con Interpol, tras la pista de la trama criminal urdida por un poderoso lobby del mundo del arte. Inmersos en la investigación advertirán que existe una intriga paralela todavía más inquietante."
Vox y el Yunque,['Santiago Mata'],"['Ensayo', 'Política']","Esta investigación se refiere a quienes se apoyan a sabiendas en una sociedad llamada El Yunque, que, en cierto modo, y sin merma de su carácter secreto, pretende erigirse en representante de una ideología a la que trata de revestir de supuestos valores patrióticos, tradicionales e incluso religiosos. Y de cómo ese grupo de personas ha influido decisivamente en la cúpula del partido Vox.La relevancia pública que, a partir de la fundación de Vox en 2014, alcanzará Santiago Abascal, hace que valga la pena observar su carrera en primer lugar y casi al margen del resto de personas que, en la política o fuera de ella, se han relacionado con esta sociedad secreta relativamente poco conocida."
"Con cariño, Rosie","[""Nuala O'Faolain""]","['Novela', 'Realista']","Esta es una historia maravillosa llena de mujeres con sofocos. En primer lugar está Rose Barry, una irlandesa de armas tomar de cincuenta y muchos. Rosie está escribiendo Diez Pensamientos para la mitad del viaje, un cuadernito de autoayuda para mujeres estadounidenses de mediana edad. Luego está su arisca pero adorable tía Min, que a sus años está a punto de vivir una aventura al más puro estilo Huckleberry Finn. O Reeny, fiel escudera de Min y una virtuosa manipuladora del sistema sanitario. También Peg y Tessa, amigas de Rosie de toda la vida. Y ya puestos, la cerdita Madre Irlanda y las fantasmas antepasadas de Rosie, en una casa por habitar que nadie esperaba ya. Con cariño, Rosie es un maravilloso tratado femenino y feminista sobre el saber envejecer y sobre el amor y la amistad en las mujeres de mediana edad. Todo lo que ocurre en esta novela es a la vez triste, divertido y, ante todo, generoso y sincero. Una joya inédita hasta ahora en castellano."
Putas de Babilonia,['Ian Watson'],"['Ciencia ficción', 'Novela']","En el desierto de Arizona, a la orilla del río Éufrates, se levanta la ciudad de Babilonia, reconstruida en su momento de mayor esplendor. Dominada por la Torre de Babel, y con Alejandro Magno en su lecho de muerte, la ciudad se ha convertido en codiciado destino, en un experimento sociológico regido por las normas del Instituto del Futuro en la ciudad de Heurística. Hasta ella llegan Alex Winter y Deborah Tate, dos viajeros con ambiciones muy dispares. Alex ha abandonado sus estudios de Sociología en la Universidad de Oregón con la intención de convertirse en un babilonio. Deborah persigue un deseo mucho más ambicioso: convertirse en una prostituta del templo de Ishtar. Ambos tendrán que luchar por hacerse un hueco en una sociedad que no se parece en nada a aquella en la que han crecido."
Leyendas de la antigua Mesopotamia,['Federico Lara Peinado'],"['Ciencias sociales', 'Referencia']","La masa de textos que se posee de la antigua Mesopotamia, lugar tradicionalmente considerado como el de la invención de la escritura, es impresionante, como es sabido, atendiendo tanto a su número como a las materias específicas de que tratan.Ya desde finales del tercer milenio a. C. la producción literaria en general y de tema mitológico en particular hubo de ser copiosa y en cierta manera paralela en importancia al resto de la producción escrita (documentos administrativos, jurídicos y económicos). El específico carácter y significado del mito haría que tal temática se prolongase en copias y más copias hasta épocas muy tardías.Fue en el país de Sumer y de Akkad donde tuvo lugar también la invención del mito, tanto como un hecho puramente religioso, como el de una necesidad literaria. Y esta evidencia histórica debe ser remarcada y tenida en cuenta a la hora de abordar el estudio del mito en sus orígenes y en sí mismo y no dejarse constreñir tanto por la mitología clásica (hasta el extremo de atribuir a los griegos la paternidad del mito) o por la exótica de las sociedades primitivas.Poemas y composiciones literarias fueron puestos por escrito en diferentes ciudades de la antigua Mesopotamia por anónimos escritores y copistas, recogiendo en ellos las tradiciones locales sobre el origen del cosmos, de los dioses, de la humanidad, de los cataclismos y otras facetas del hecho religioso y cotidiano, todo ello como reacción a la necesidad de una orientación válida de la existencia y de la realidad en que estaban inmersos.Sin embargo, los mitos mesopotámicos presentan no pocas dificultades al estudioso actual, que van desde la propia presentación formal (la mayoría de las tablillas de barro con los textos cuneiformes se hallan incompletas o muy deterioradas) hasta lo puramente lexicológico (sobre todo en lo que atañe a la lengua sumeria). A esto debe sumarse el hecho de que no todos los textos (las tablillas se cuentan por millares en los diferentes museos) se hallan todavía publicados en su totalidad, dadas sus dificultades internas y externas, circunstancia que podría alterar la fijación de un texto o frustrar el empeño de haber «canonizado» una determinada composición mítica."
El oráculo de obsidiana,['Troy Denning'],"['Fantástico', 'Novela']","La lente oscura es un antiguo oráculo capaz de concentrar la magia del sol, que los últimos caballeros enanos robaron y ocultaron por el bien de un nuevo mundo.En su obsesión por convertirse en rey-hechicero, Tithian de Tyr no se detendrá ante nada para conseguir hacerse con la lente oscura. Únicamente Agis de Asticles, que también desea apoderarse de ella con el buen fin de destruir al dragón que aterroriza Athas, se interpone entre el monarca y su ambición.Pero… si ambos hombres no vencen su odio mutuo, caerán en manos de los gigantes de cabeza de bestia que custodian el Oráculo de obsidiana."
Poesía epigráfica latina I,['Varios Autores'],"['Otros', 'Poesía']","Los volúmenes de los Carmina Latina Epigraphica, cuya publicación inició, hace ya más de un siglo, Buecheler y continuó Lommatzsch en 1926, recogían todas las inscripciones latinas antiguas escritas en verso conocidas por entonces (unas dos mil trescientas). Es, pues, un corpus de considerables dimensiones, en el que, al lado de piezas de escaso o nulo valor literario, encontramos a veces los destellos de la más auténtica inspiración poética o, cuando menos, la chispa rebosante de ingenio, o de sincero dolor, de la musa popular y anónima. Ésos son los textos que para la B. C. G. ha traducido y anotado Concepción Fernández Martínez, Profesora de la Universidad de Sevilla y colaboradora del proyecto internacional de investigación encargado de poner a disposición de los estudiosos el caudal actualizado de los epígrafes latinos en verso, que se espera que, cuando menos, duplique el publicado en su día por Buecheler y Lommatzsch."
